BL,SHIP_DATE,STATUS,RECEIVED_DATE_cst,DESC1,shipvia,PRT
56221,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jun-26,2023-Oct-27,Customer Pickup,1
56300,2023-Sep-14,Your order is in stock. Pickup date is confirmed.,2023-Jul-06,2023-Sep-21,AERONET,1
56234,2023-Oct-09,Your order has been received by our distribution centre. Pickup date is confirmed.,,2023-Oct-09,Customer Pickup,2
56252,2023-Sep-18,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-03,2023-Sep-25,Dempsey,1
56353,2023-Aug-21,Your order was picked up on 2023-Aug-04. You will receive an invoice shortly.,2023-Jul-12,2023-Aug-01,Customer Pickup,1
56370,2023-Sep-07,Your order is in stock. Pickup date is confirmed.,2023-Jul-14,2023-Sep-14,K CAM International,1
56371,2023-Aug-22,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-14,2023-Aug-29,FEDEX FRT PRIORITY,2
56143,To be confirmed,We require your approval prior to confirming the pickup date for your order. Please replyto the email Customer Service sent you or contact us at customerservice@dempseycorporation.com if you have not received an email regarding this order.,2023-Jun-13,2023-Aug-23,CH ROBINSON,
56146,To be confirmed,"Our distribution centre has advised that your order has not yet been picked up. Please arrange pickup as per the instructions sent to you by Customer Service. If you have not received your confirmation email, please contact customerservice@dempseycorporation.com",2023-Jun-13,2023-Jun-28,Customer Pickup,2
56237,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jun-28,2023-Sep-15,FEDEX FRT PRIORITY,1
56310,To be confirmed,One or more products on your order are not yet in stock. Customer Service will advise if we are unable to meet your requested pickup date.,2023-Jul-07,2023-Aug-28,Customer Pickup,1
56358,2023-Sep-05,Your order is in stock. Pickup date is confirmed.,2023-Jul-10,2023-Sep-05,Dempsey,2
56372,2023-Aug-14,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-18,2023-Jul-18,Customer Pickup,2
56380,2023-Aug-24,Your order is in stock. Pickup date is confirmed.,2023-Jul-14,2023-Jul-31,AERONET,2
56381,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-17,2023-Aug-01,Customer Pickup,1
56241,2023-Aug-21,Your order was picked up on 2023-Aug-04. You will receive an invoice shortly.,2023-Jul-23,2023-Aug-18,Customer Pickup,3
56312,2023-Aug-02,Your order was picked up on 2023-Aug-04. We are awaiting freight charges and you will receive an invoice shortly.,2023-Jul-10,2023-Jul-14,FEDEX FRT PRIORITY,2
56313,2023-Aug-18,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-10,2023-Jul-25,Dempsey,1
56363,2023-Aug-04,Your order was picked up on 2023-Aug-04. You will receive an invoice shortly.,2023-Jun-19,2023-Jul-19,Customer Pickup,3
56379,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-13,2023-Aug-28,OLYMPIC,1
56404,To be confirmed,One or more products on your order are not yet in stock. Customer Service will advise if we are unable to meet your requested pickup date.,2023-Jul-19,2023-Aug-25,AERONET,
56405,To be confirmed,One or more products on your order are not yet in stock. Customer Service will advise if we are unable to meet your requested pickup date.,2023-Jul-19,2023-Sep-05,Customer Pickup,
56366,2023-Sep-01,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-11,2023-Sep-08,FEDEX FRT PRIORITY,2
56389,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-18,2023-Sep-18,Customer Pickup,
56391,2023-Sep-22,Your order is in stock. Pickup date is confirmed.,2023-Jul-18,2023-Sep-29,FEDEX FRT PRIORITY,
56411,2023-Aug-08,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-19,2023-Aug-07,UPS FREIGHT,2
56428,2023-Aug-29,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-21,2023-Aug-29,Customer Pickup,1
56429,2023-Sep-05,Your order is in stock. Pickup date is confirmed.,2023-Jul-21,2023-Sep-12,FEDEX FRT PRIORITY,1
56449,2023-Sep-20,Your order is in stock. Pickup date is confirmed.,2023-Jul-26,2023-Sep-27,FEDEX GROUND,1
56322,2023-Aug-04,Your order was picked up on 2023-Aug-04. We are awaiting freight charges and you will receive an invoice shortly.,2023-Jul-12,2023-Jul-17,FEDEX FRT PRIORITY,1
56393,2023-Aug-22,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-18,2023-Aug-29,ECHO LOGISTICS,2
56395,2023-Aug-11,Your order has been received by our distribution centre. Pickup date is confirmed.,,2023-Aug-01,Dempsey,5
56413,2023-Sep-26,Your order is in stock. Pickup date is confirmed.,2023-Jul-20,2023-Sep-26,Customer Pickup,1
56452,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-20,2023-Jul-20,FEDEX FRT PRIORITY,1
56453,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-26,2023-Aug-01,XPO,1
56455,2023-Aug-29,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-25,2023-Sep-05,Dempsey,2
56460,2023-Aug-31,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-26,2023-Sep-07,CH ROBINSON,2
56461,2023-Aug-15,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-25,2023-Aug-17,Customer Pickup,2
56462,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-11,2023-Jul-11,FEDEX FRT PRIORITY,1
56511,2023-Sep-13,Your order is in stock. Pickup date is confirmed.,2023-Aug-03,2023-Sep-20,FEDEX FRT PRIORITY,
56512,2023-Aug-07,Your order was picked up on 2023-Aug-04. We are awaiting freight charges and you will receive an invoice shortly.,2023-Aug-03,2023-Aug-14,FEDEX GROUND,1
56396,To be confirmed,Your order has been placed with our supplier. Delivery / pickup date to be confirmed.,2023-Jul-14,2024-Jan-23,Customer Pickup,X
56398,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-18,2023-Sep-04,FEDEX FRT PRIORITY,1
56417,2023-Aug-24,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-20,2023-Aug-31,UPS GROUND,1
56418,To be confirmed,We require your approval prior to confirming the pickup date for your order. Please replyto the email Customer Service sent you or contact us at customerservice@dempseycorporation.com if you have not received an email regarding this order.,2023-Jul-20,2023-Aug-04,Dempsey,
56436,2023-Sep-05,Your order is in stock. Pickup date is confirmed.,2023-Jul-20,2023-Sep-06,Customer Pickup,X
56437,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-24,2023-Sep-09,FEDEX FRT PRIORITY,1
56464,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-24,2023-Oct-10,FEDEX FRT PRIORITY,1
56516,2023-Aug-04,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Apr-13,2023-Sep-05,Customer Pickup,
56517,2023-Oct-03,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-May-26,2023-Oct-03,Customer Pickup,X
56518,To be confirmed,Your order requires prepayment. Please refer to instructions in your order confirmationemail and proforma invoice. Ship / pickup date is not confirmed.,2023-Aug-04,2023-Aug-09,Customer Pickup,X
56529,2023-Sep-29,Your order is in stock. Pickup date is confirmed.,2023-Aug-04,2023-Oct-06,K CAM International,
56330,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-13,2023-Sep-11,Customer Pickup,1
56421,2023-Oct-17,Your order is in stock. Pickup date is confirmed.,2023-Jul-21,2023-Oct-24,OLD DOMINION,
56423,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-21,2023-Aug-14,FEDEX FRT PRIORITY,1
56469,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-26,2023-Aug-04,UPS GROUND,1
56471,To be confirmed,Your order is being processed. We are awaiting information internally before we can confirm your order. Customer Service will provide an update shortly.,,2023-Jul-31,FEDEX FRT PRIORITY,3
56523,To be confirmed,One or more products on your order are not yet in stock. Customer Service will advise if we are unable to meet your requested pickup date.,2023-Aug-04,2023-Aug-08,Customer Pickup,
56532,2023-Aug-29,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Aug-08,2023-Sep-05,SCHNIDT,1
56534,2023-Oct-05,Your order is in stock. Pickup date is confirmed.,2023-Aug-08,2023-Oct-06,Customer Pickup,
56535,2023-Sep-12,Your order is in stock. Pickup date is confirmed.,2023-Aug-01,2023-Sep-15,FEDEX GROUND,X
56540,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-07,2023-Sep-18,ECHO LOGISTICS,
56541,To be confirmed,One or more products on your order are not yet in stock. Customer Service will advise if we are unable to meet your requested pickup date.,2023-Aug-04,2023-Aug-04,FFE,
56542,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-04,2023-Aug-04,FFE,
56543,2023-Sep-27,Your order is in stock. Pickup date is confirmed.,2023-Aug-07,2023-Oct-04,ECHO LOGISTICS,
56400,2023-Aug-22,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-21,2023-Sep-06,ALL CONNECT,1
56401,2023-Nov-02,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-19,2023-Nov-02,Dempsey,1
56472,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,,2023-Jul-31,Dempsey,1
56474,2023-Sep-22,Your order is in stock. Pickup date is confirmed.,2023-Jul-26,2023-Sep-29,Dempsey,1
56524,2023-Aug-10,Your order was picked up on 2023-Aug-04. We are awaiting freight charges and you will receive an invoice shortly.,2023-Jul-18,2023-Jul-20,Dempsey,
56538,2023-Aug-28,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Aug-07,2023-Aug-30,Customer Pickup,1
56539,2023-Aug-29,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Aug-07,2023-Aug-29,Customer Pickup,1
56479,2023-Aug-23,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-27,2023-Aug-25,Customer Pickup,1
56480,2023-Sep-06,Your order is in stock. Pickup date is confirmed.,2023-Jul-27,2023-Sep-13,FEDEX FRT PRIORITY,1
56481,2023-Aug-17,Your order was picked up on 2023-Aug-04. We are awaiting freight charges and you will receive an invoice shortly.,2023-Jul-28,2023-Aug-22,FEDEX FRT PRIORITY,3
56544,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-09,2023-Aug-09,FEDEX GROUND,
56547,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-08,2023-Sep-12,Dempsey,
56613,To be confirmed,One or more products on your order are not yet in stock. Please reply to Customer Service toconfirm if you would like to split the order or wait to pickup complete.,2023-Aug-08,2023-Aug-28,Customer Pickup,
56614,2023-Oct-10,Your order is in stock. Pickup date is confirmed.,2023-Aug-10,2023-Oct-17,FEDEX FRT PRIORITY,
56616,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-11,2023-Aug-17,Customer Pickup,
56625,2023-Aug-18,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Aug-15,2023-Aug-24,Aeronet Freight,2
56626,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-10,2023-Sep-21,OLYMPIC,
56627,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-11,2023-Oct-13,AERONET,
56628,2023-Dec-01,Your order is in stock. Pickup date is confirmed.,2023-Aug-11,2023-Dec-04,Customer Pickup,
56639,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-15,2023-Sep-26,FEDEX FRT PRIORITY,X
56640,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-08,2023-Aug-24,Kingsgate Logistics,X
56645,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-10,2023-Aug-24,Dempsey,X
56646,2023-Aug-22,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Aug-17,2023-Aug-28,Dempsey,1
56647,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-15,2023-Aug-23,FORT TRANSPORTATION,
56648,2023-Aug-22,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Aug-16,2023-Aug-19,Customer Pickup,2
56485,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Apr-11,2023-Apr-19,Dempsey,
56487,2023-Sep-06,Your order is in stock. Pickup date is confirmed.,2023-Jul-28,2023-Sep-06,Customer Pickup,
56548,2023-Aug-14,Your order was picked up on 2023-Aug-04. We are awaiting freight charges and you will receive an invoice shortly.,2023-Aug-07,2023-Aug-21,FEDEX FRT PRIORITY,2
56549,2023-Sep-05,Your order is in stock. Pickup date is confirmed.,2023-Aug-10,2023-Sep-12,FEDEX FRT PRIORITY,
56551,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-10,2023-Aug-18,Dempsey,
56618,To be confirmed,We require your approval prior to confirming the pickup date for your order. Please replyto the email Customer Service sent you or contact us at customerservice@dempseycorporation.com if you have not received an email regarding this order.,2023-Aug-09,2023-Aug-31,FEDEX FRT PRIORITY,
56619,2023-Aug-30,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Aug-10,2023-Sep-06,ECHO GLOBAL LOGISTICS,3
56620,2023-Aug-22,Your order is in stock. Pickup date is confirmed.,2023-Aug-15,2023-Aug-25,Dempsey,1
56349,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,,2023-Aug-24,DEMPSEY,
56489,2023-Aug-18,Your order was picked up on 2023-Aug-04. We are awaiting freight charges and you will receive an invoice shortly.,2023-Jul-30,2023-Aug-25,FEDEX FRT PRIORITY,1
56492,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-25,2023-Aug-24,FEDEX FRT PRIORITY,
56494,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jun-14,2023-Aug-04,Customer Pickup,
56621,2023-Sep-04,Your order is in stock. Pickup date is confirmed.,2023-Aug-10,2023-Sep-11,FEDEX FRT PRIORITY,
56622,To be confirmed,One or more products on your order are not yet in stock. Please reply to Customer Service toconfirm if you would like to split the order or wait to pickup complete.,2023-Aug-08,2023-Sep-08,AERONET,
56623,To be confirmed,One or more products on your order are not yet in stock. Please reply to Customer Service toconfirm if you would like to split the order or wait to pickup complete.,2023-Aug-10,2023-Sep-06,Dayton Freight,
56624,2023-Aug-30,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Aug-09,2023-Sep-06,FEDEX GROUND,1
56629,2023-Aug-22,Your order is in stock. Pickup date is confirmed.,2023-Aug-15,2023-Aug-16,ALL CONNECT,1
56630,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-15,2023-Aug-21,UPS FREIGHT,
56631,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-12,2023-Jul-19,OLD DOMINION,
56641,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-14,2023-Dec-14,FEDEX FRT PRIORITY,
56642,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-14,2024-Feb-01,FEDEX FRT PRIORITY,
56644,To be confirmed,Your order is being processed. We are awaiting information internally before we can confirm your order. Customer Service will provide an update shortly.,2023-Jul-28,2023-Aug-21,Dempsey,
56649,2023-Aug-23,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Aug-17,2023-Aug-23,Customer Pickup,1
56650,To be confirmed,We require your approval prior to confirming the pickup date for your order. Please replyto the email Customer Service sent you or contact us at customerservice@dempseycorporation.com if you have not received an email regarding this order.,2023-Aug-17,2023-Sep-18,Customer Pickup,
56651,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-18,2023-Aug-25,Dempsey,
56652,To be confirmed,Your order is being processed. We are awaiting information internally before we can confirm your order. Customer Service will provide an update shortly.,2023-Mar-20,2023-Aug-01,Customer Pickup,X
56653,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-21,2023-Sep-06,ALL CONNECT,X
56497,2023-Aug-23,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Aug-01,2023-Aug-30,FEDEX FRT PRIORITY,1
56573,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-07,2023-Sep-20,Dempsey,
56633,To be confirmed,We require your approval prior to confirming the pickup date for your order. Please replyto the email Customer Service sent you or contact us at customerservice@dempseycorporation.com if you have not received an email regarding this order.,2023-Aug-11,2023-Aug-17,UPS GROUND,
56634,2023-Sep-21,Your order is in stock. Pickup date is confirmed.,2023-Aug-14,2023-Sep-28,R&L Carriers,
56635,2023-Aug-30,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Aug-11,2023-Sep-06,Aeronet Freight,1
56636,2023-Aug-18,Your order was picked up on 2023-Aug-04. We are awaiting freight charges and you will receive an invoice shortly.,2023-Aug-15,2023-Aug-23,FEDEX FRT PRIORITY,1
56501,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-01,2023-Oct-02,UPS FREIGHT,X
56519,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-04,2023-Oct-19,AERONET,
56504,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-01,2023-Sep-01,UPS FREIGHT,X
56505,To be confirmed,Your order requires prepayment. Please refer to instructions in your order confirmationemail and proforma invoice. Ship / pickup date is not confirmed.,2023-Aug-02,2023-Aug-07,FEDEX FRT PRIORITY,X
56507,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-03,2023-Oct-02,Customer Pickup,
56509,2023-Aug-31,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Aug-02,2023-Sep-07,ECHO LOGISTICS,1
56596,2023-Sep-06,Your order is in stock. Pickup date is confirmed.,2023-Aug-08,2023-Sep-13,All Connect,
56599,To be confirmed,We require your approval prior to confirming the pickup date for your order. Please replyto the email Customer Service sent you or contact us at customerservice@dempseycorporation.com if you have not received an email regarding this order.,2023-Aug-09,2023-Oct-16,Customer Pickup,
56602,2023-Sep-06,Your order is in stock. Pickup date is confirmed.,2023-Aug-07,2023-Sep-13,FEDEX FRT PRIORITY,
56604,2023-Sep-08,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Aug-10,2023-Sep-12,FEDEX FRT PRIORITY,1
56606,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-08,2023-Sep-01,Customer Pickup,
56608,2023-Aug-21,Your order was picked up on 2023-Aug-04. You will receive an invoice shortly.,2023-Aug-08,2023-Aug-21,OLD DOMINION,2
56609,2023-Aug-18,Your order was picked up on 2023-Aug-04. We are awaiting freight charges and you will receive an invoice shortly.,2023-Aug-14,2023-Aug-21,FEDEX FRT PRIORITY,1
56611,2023-Aug-23,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Aug-08,2023-Aug-30,OLD DOMINION,1
56552,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-11,2023-Jul-29,Customer Pickup,
56553,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-11,2023-Jul-29,Customer Pickup,
