BL,SHIP_DATE,STATUS,RECEIVED_DATE_cst,DESC1,shipvia,PRT
56869,2023-Oct-27,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-13,2023-Oct-26,Customer Pickup,1
56899,To be confirmed,Your order is being processed. We are awaiting information internally before we can confirm your order. Customer Service will provide an update shortly.,2023-Sep-20,2023-Oct-20,Dempsey,1
56913,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Sep-21,2023-Nov-17,Customer Pickup,1
56914,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Sep-21,2024-Jan-10,Customer Pickup,1
56916,2023-Nov-03,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Sep-25,2023-Nov-03,Customer Pickup,2
56934,2023-Oct-27,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-20,2023-Oct-27,R&K,2
56935,2023-Dec-04,Your order is in stock. Pickup date is confirmed.,2023-Sep-21,2023-Dec-11,FEDEX FRT PRIORITY,1
56902,To be confirmed,Your order requires prepayment. Please refer to instructions in your order confirmationemail and proforma invoice. Ship / pickup date is not confirmed.,2023-Sep-14,2023-Sep-14,Customer Pickup,X
56917,2023-Oct-19,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-22,2023-Oct-18,FEDEX FRT PRIORITY,1
56919,To be confirmed,Your order is being processed. We are awaiting information internally before we can confirm your order. Customer Service will provide an update shortly.,2023-Sep-20,2023-Oct-10,Ultimate Freightway,2
56920,2023-Oct-26,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-20,2023-Nov-06,Customer Pickup,2
56906,2023-Oct-19,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-21,2023-Oct-26,FEDEX FRT PRIORITY,2
56921,To be confirmed,"Our distribution centre has advised that your order has not yet been picked up. Please arrange pickup as per the instructions sent to you by Customer Service. If you have not received your confirmation email, please contact customerservice@dempseycorporation.com",2023-Sep-21,2023-Sep-20,Customer Pickup,1
56923,2023-Oct-19,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-19,2023-Oct-19,Customer Pickup,1
56924,2023-Oct-17,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-19,2023-Oct-17,Customer Pickup,1
56950,To be confirmed,One or more products on your order are not yet in stock. Customer Service will advise if we are unable to meet your requested pickup date.,2023-Sep-25,2023-Nov-07,Customer Pickup,1
56951,2023-Nov-03,Your order is in stock. Pickup date is confirmed.,2023-Sep-28,2023-Oct-26,Dempsey,1
56954,To be confirmed,One or more products on your order are not yet in stock. Customer Service will advise if we are unable to meet your requested pickup date.,2023-Sep-25,2023-Oct-25,ECHO GLOBAL LOGISTICS,X
56955,2023-Oct-23,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-25,2023-Oct-27,DEMPSEY,2
56770,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Sep-06,2024-Jan-05,Customer Pickup,1
56883,2023-Oct-19,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-18,2023-Nov-02,ECHO LOGISTICS,1
56959,2023-Oct-26,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-25,2023-Nov-02,FEDEX FRT PRIORITY,2
56960,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Sep-20,2023-Sep-20,Customer Pickup,1
56966,2023-Oct-16,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-27,2023-Oct-27,UPS GROUND,1
56969,2023-Oct-26,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-27,2023-Oct-19,OLYMPIC,2
56970,To be confirmed,Your order has been cancelled.,2023-Sep-28,2023-Oct-27,FEDEX FRT PRIORITY,2
56971,2023-Nov-23,Your order is in stock. Pickup date is confirmed.,2023-Sep-28,2023-Nov-30,FEDEX FRT PRIORITY,1
56972,2023-Oct-27,Your order was picked up on 2023-Nov-06. We are awaiting freight charges and you will receive an invoice shortly.,2023-Sep-27,2023-Nov-03,FEDEX FRT PRIORITY,2
56846,2023-Nov-07,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Sep-14,2023-Nov-07,Customer Pickup,2
56888,2024-Mar-15,Your order is in stock. Pickup date is confirmed.,,2024-Mar-22,FEDEX FRT PRIORITY,1
56929,2023-Oct-31,Your order is in stock. Pickup date is confirmed.,2023-Sep-21,2023-Sep-25,Old Dominion Freight,2
56930,2023-Oct-26,Your order is in stock. Pickup date is confirmed.,2023-Sep-20,2023-Oct-20,Dempsey,
56932,2023-Oct-17,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-26,2023-Sep-26,Customer Pickup,1
56937,2023-Oct-31,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Sep-21,2023-Nov-02,Frozen Food Express,2
56938,2023-Oct-27,Your order was picked up on 2023-Nov-06. We are awaiting freight charges and you will receive an invoice shortly.,2023-Sep-22,2023-Nov-02,FEDEX FRT PRIORITY,2
56849,2023-Oct-30,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Sep-12,2023-Nov-06,K CAM International,1
56850,2023-Oct-26,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-12,2023-Oct-27,OLYMPIC,2
56851,2023-Oct-25,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-12,2023-Nov-01,FEDEX GROUND,2
56943,To be confirmed,Your order has been cancelled.,2023-Sep-26,2023-Nov-06,Dempsey,
56975,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Sep-27,2023-Nov-27,Customer Pickup,1
56985,2023-Oct-20,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-27,2023-Oct-27,FEDEX FRT PRIORITY,3
56987,2023-Oct-19,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-29,2023-Oct-26,FEDEX FRT PRIORITY,1
56989,2023-Oct-25,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-28,2023-Nov-01,UPS FREIGHT,2
56991,2023-Oct-17,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-02,2023-Oct-04,OLD DOMINION,1
56992,2023-Oct-26,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-02,2023-Oct-25,FEDEX FRT PRIORITY,2
56997,2023-Oct-18,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-28,2023-Oct-04,Customer Pickup,1
57000,2023-Oct-26,Your order was picked up on 2023-Nov-06. We are awaiting freight charges and you will receive an invoice shortly.,2023-Oct-02,2023-Oct-16,FEDEX FRT PRIORITY,2
56945,2023-Oct-27,Your order was picked up on 2023-Nov-06. We are awaiting freight charges and you will receive an invoice shortly.,2023-Sep-25,2023-Nov-03,FEDEX FRT PRIORITY,2
56946,2023-Oct-31,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jun-16,2023-Oct-02,Customer Pickup,3
56947,2023-Nov-06,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jun-16,2023-Nov-06,Customer Pickup,2
56978,2023-Oct-25,Your order was picked up on 2023-Nov-06. We are awaiting freight charges and you will receive an invoice shortly.,2023-Sep-12,2023-Oct-02,FEDEX FRT PRIORITY,3
56979,2023-Oct-09,Your order was picked up on 2023-Nov-06. We are awaiting freight charges and you will receive an invoice shortly.,2023-Oct-02,2023-Oct-16,FEDEX FRT PRIORITY,2
56994,2023-Nov-08,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Sep-29,2023-Nov-10,Customer Pickup,2
56995,2023-Oct-23,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-02,2023-Oct-30,FEDEX FRT PRIORITY,2
57001,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Oct-27,2023-Nov-02,Customer Pickup,X
57002,To be confirmed,We require your approval prior to confirming the pickup date for your order. Please replyto the email Customer Service sent you or contact us at customerservice@dempseycorporation.com if you have not received an email regarding this order.,2023-Oct-04,2023-Oct-23,Customer Pickup,1
57004,2023-Nov-03,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Oct-03,2023-Nov-10,,1
57014,2023-Oct-20,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-29,2023-Oct-27,K CAM International,1
57015,2023-Oct-27,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Sep-29,2023-Nov-03,K CAM International,2
57016,To be confirmed,Your order is being processed. We are awaiting information internally before we can confirm your order. Customer Service will provide an update shortly.,2023-Sep-13,2023-Oct-04,ECHO GLOBAL LOGISTICS,X
57041,2023-Oct-30,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Oct-04,2023-Oct-18,UPS GROUND,2
57042,2023-Oct-18,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-04,2023-Oct-18,Customer Pickup,2
57043,To be confirmed,We require your approval prior to confirming the pickup date for your order. Please replyto the email Customer Service sent you or contact us at customerservice@dempseycorporation.com if you have not received an email regarding this order.,2023-Oct-04,2023-Oct-20,FEDEX GROUND,X
57044,To be confirmed,One or more products on your order are not yet in stock. Customer Service will advise if we are unable to meet your requested pickup date.,2023-Oct-04,2023-Nov-15,Dempsey,1
56785,2023-Oct-20,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-01,2023-Oct-27,ECHO LOGISTICS,2
56982,2023-Oct-25,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-27,2023-Nov-01,Customer Pickup,3
56983,2023-Nov-06,Your order is in stock. Pickup date is confirmed.,2023-Sep-27,2023-Oct-26,ECHO GLOBAL LOGISTICS,X
57005,2023-Dec-04,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Sep-28,2023-Dec-04,Dempsey,1
57006,2023-Oct-17,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-05,2023-Oct-19,Dempsey,3
57007,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Oct-03,2024-Mar-04,Customer Pickup,1
57008,2023-Oct-16,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-05,2023-Oct-16,FEDEX FRT PRIORITY,2
57018,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Oct-06,2023-Dec-08,Customer Pickup,X
57045,2023-Oct-30,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Oct-04,2023-Oct-26,FEDEX FRT PRIORITY,2
57046,2023-Oct-16,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-05,2023-Oct-19,UPS GROUND,2
57048,2023-Oct-20,Your order is in stock. Pickup date is confirmed.,2023-Oct-05,2023-Oct-27,FEDEX FRT PRIORITY,1
57066,2023-Oct-26,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-06,2023-Nov-02,Dempsey,1
57068,2023-Nov-08,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Oct-10,2023-Nov-15,,2
57029,2023-Oct-17,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-06,2023-Oct-24,Customer Pickup,1
57030,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Oct-09,2023-Oct-09,Customer Pickup,1
57032,2023-Oct-20,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-09,2023-Oct-21,Customer Pickup,3
57049,2023-Nov-01,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Oct-05,2023-Nov-03,Customer Pickup,2
57050,To be confirmed,One or more products on your order are not yet in stock. Customer Service will advise if we are unable to meet your requested pickup date.,2023-Oct-05,2023-Nov-30,ECHO LOGISTICS,X
57051,2023-Oct-25,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-05,2023-Nov-01,FEDEX FRT PRIORITY,2
57052,2023-Oct-17,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-06,2023-Oct-20,MONROE,1
57069,2023-Nov-03,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Oct-10,2023-Nov-03,FEDEX FRT PRIORITY,2
57071,2023-Oct-27,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-03,2023-Nov-03,FEDEX FRT PRIORITY,2
57072,2023-Nov-01,Your order is in stock. Pickup date is confirmed.,2023-Oct-10,2023-Nov-07,ECHO LOGISTICS,2
57033,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Oct-06,2023-Oct-11,Customer Pickup,1
57035,2023-Oct-18,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-10,2023-Oct-25,FEDEX FRT PRIORITY,1
57053,2023-Oct-27,Your order was picked up on 2023-Nov-06. We are awaiting freight charges and you will receive an invoice shortly.,2023-Oct-06,2023-Nov-03,FEDEX FRT PRIORITY,2
57055,2023-Oct-24,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-09,2023-Oct-31,Evans Transport,1
57056,To be confirmed,Your order has been cancelled.,2023-Oct-06,2023-Nov-29,FEDEX FRT PRIORITY,1
57073,To be confirmed,Your order is being processed. We are awaiting information internally before we can confirm your order. Customer Service will provide an update shortly.,2023-Oct-10,2023-Dec-28,OLD DOMINION,1
57074,2023-Oct-30,Your order is in stock. Pickup date is confirmed.,2023-Sep-26,2023-Nov-06,FEDEX FRT PRIORITY,3
57075,2023-Oct-16,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-02,2023-Oct-02,Customer Pickup,1
57076,2023-Oct-27,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-11,2023-Oct-27,Customer Pickup,1
57102,2023-Oct-26,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Oct-12,2023-Oct-16,PENSKE,2
57131,To be confirmed,Your order has been cancelled.,2023-Oct-13,2023-Nov-28,Customer Pickup,X
57037,2023-Oct-20,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-04,2023-Oct-23,UPS GROUND,1
57038,To be confirmed,One or more products on your order are not yet in stock. Customer Service will advise if we are unable to meet your requested pickup date.,2023-Oct-05,2023-Dec-04,Aeronet Freight,1
57039,2023-Oct-19,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-04,2023-Oct-13,Dempsey,X
57040,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Oct-04,2023-Nov-08,Dempsey,X
57057,2023-Nov-06,Your order is in stock. Pickup date is confirmed.,2023-Oct-06,2023-Oct-27,Customer Pickup,X
57058,2023-Dec-01,Your order is in stock. Pickup date is confirmed.,2023-Oct-03,2023-Dec-01,Customer Pickup,1
57059,2023-Oct-16,Your order is in stock. Pickup date is confirmed.,2023-Oct-04,2023-Oct-16,Customer Pickup,1
57060,2023-Dec-05,Your order is in stock. Pickup date is confirmed.,2023-Oct-06,2023-Dec-12,FEDEX FRT PRIORITY,1
57077,2023-Nov-02,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Oct-10,2023-Nov-09,Evans Transport,2
57078,2023-Nov-02,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Oct-11,2023-Nov-08,Dempsey,1
57079,2023-Nov-01,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Oct-11,2023-Nov-01,Customer Pickup,2
57080,2023-Oct-20,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-11,2023-Oct-20,Customer Pickup,1
57134,To be confirmed,We require your approval prior to confirming the pickup date for your order. Please replyto the email Customer Service sent you or contact us at customerservice@dempseycorporation.com if you have not received an email regarding this order.,2023-Oct-16,2023-Nov-03,FEDEX FRT PRIORITY,1
57136,2023-Oct-18,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Jun-16,2023-Dec-01,Customer Pickup,1
57061,2023-Oct-17,Your order was picked up on 2023-Nov-06. We are awaiting freight charges and you will receive an invoice shortly.,2023-Oct-09,2023-Oct-20,DEMPSEY,1
57062,2023-Oct-26,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-09,2023-Nov-01,Dempsey,1
57064,2023-Oct-30,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Oct-09,2023-Nov-06,FEDEX GROUND,2
57081,2023-Oct-30,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Oct-11,2023-Nov-06,FEDEX FRT PRIORITY,1
57082,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Oct-12,2023-Oct-20,FEDEX FRT PRIORITY,1
57083,2023-Oct-20,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-12,2023-Oct-24,UPS GROUND,1
57084,2023-Oct-19,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-12,2023-Oct-26,FEDEX GROUND,2
57137,2023-Oct-18,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Jun-16,2023-Oct-18,Customer Pickup,2
57139,To be confirmed,One or more products on your order are not yet in stock. Customer Service will advise if we are unable to meet your requested pickup date.,2023-Oct-11,2023-Nov-28,Aeronet Freight,1
57140,2023-Oct-18,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-12,2023-Oct-12,FEDEX GROUND,1
57149,2023-Oct-24,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-16,2023-Oct-19,FFE,2
57150,2023-Oct-20,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-16,2023-Oct-16,FEDEX FRT PRIORITY,2
57151,2023-Nov-06,Your order is in stock. Pickup date is confirmed.,2023-Oct-16,2023-Oct-19,CUSTOMER PICKUP,X
57152,To be confirmed,"One or more products on your order are not yet in stock. As per your instructions, we are waiting to ship the order complete.",2023-Oct-16,2023-Nov-27,R&K,1
57153,To be confirmed,One or more products on your order are not yet in stock. Customer Service will advise if we are unable to meet your requested pickup date.,2023-Oct-17,2023-Nov-13,Customer Pickup,X
57154,2023-Oct-27,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-17,2023-Oct-27,Customer Pickup,1
57155,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Oct-17,2023-Nov-15,OLYMPIC,1
57156,2023-Dec-15,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Oct-17,2023-Dec-15,FEDEX GROUND,1
57161,2023-Oct-20,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-26,2023-Oct-03,ALL CONNECT,1
57162,2023-Oct-23,Your order is in stock. Pickup date is confirmed.,2023-Oct-16,2023-Oct-20,Customer Pickup,1
57163,To be confirmed,Your order is being processed. We are awaiting information internally before we can confirm your order. Customer Service will provide an update shortly.,2023-Oct-18,2023-Oct-23,CUSTOMER PICKUP,X
56815,2023-Oct-30,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Sep-12,2023-Oct-11,Dempsey,1
57085,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Oct-06,2023-Nov-10,PENSKE,1
57086,To be confirmed,One or more products on your order are not yet in stock. Customer Service will advise if we are unable to meet your requested pickup date.,2023-Oct-12,2023-Nov-30,R&L Carriers,1
57087,To be confirmed,,,,Dempsey,1
57088,2023-Oct-27,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-11,2023-Oct-27,UPS GROUND,2
57141,2023-Oct-24,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-16,2023-Oct-27,All Connect,2
57142,To be confirmed,One or more products on your order are not yet in stock. Customer Service will advise if we are unable to meet your requested pickup date.,2023-Oct-16,2023-Dec-18,FEDEX FRT PRIORITY,1
57143,2023-Oct-19,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-06,2023-Oct-11,Customer Pickup,1
57144,2023-Oct-31,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jun-16,2023-Oct-18,Customer Pickup,2
57157,2023-Oct-20,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-18,2023-Oct-23,UPS GROUND,2
57158,2023-Oct-25,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Oct-17,2023-Oct-25,Dempsey,3
57159,To be confirmed,One or more products on your order are not yet in stock. Customer Service will advise if we are unable to meet your requested pickup date.,2023-Oct-16,2023-Oct-20,FEDEX FRT PRIORITY,
57160,2023-Oct-20,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-28,2023-Oct-27,FEDEX FRT PRIORITY,1
57164,2023-Oct-23,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-12,2023-Oct-02,ALL CONNECT,1
57165,To be confirmed,Your order has been placed with our supplier. Delivery / pickup date to be confirmed.,2023-Oct-17,2024-Jan-01,FEDEX FRT PRIORITY,X
